censo,iso_3166-2_AR,provincia,sexo,rango_etario,nativo_extranjero,poblacion,
1960,AR,ARGENTINA,V,60-64,N,184572,
1960,AR,ARGENTINA,V,65-69,N,118650,
1960,AR,ARGENTINA,V,70-74,N,68936,
1960,AR,ARGENTINA,V,75-79,N,31528,
1960,AR,ARGENTINA,V,80-84,N,13595,
1960,AR,ARGENTINA,V,85+,N,7134,
1970,AR,ARGENTINA,M,05-09,N,1122950,
1970,AR,ARGENTINA,M,10-14,N,1070900,
1970,AR,ARGENTINA,M,00-04,N,1150450,
1970,AR,ARGENTINA,M,15-19,N,1015650,
1970,AR,ARGENTINA,M,20-24,N,915350,
1970,AR,ARGENTINA,M,25-29,N,798650,
1970,AR,ARGENTINA,M,30-34,N,737450,
1970,AR,ARGENTINA,M,35-39,N,704950,
1970,AR,ARGENTINA,M,40-44,N,694700,
1970,AR,ARGENTINA,M,45-49,N,604650,
1970,AR,ARGENTINA,M,50-54,N,515650,
1970,AR,ARGENTINA,M,55-59,N,465500,
1970,AR,ARGENTINA,M,60-64,N,348200,
1970,AR,ARGENTINA,M,65-69,N,238900,
1970,AR,ARGENTINA,M,70-74,N,159400,
1970,AR,ARGENTINA,M,75-79,N,99250,
1970,AR,ARGENTINA,M,80-84,N,52050,
1970,AR,ARGENTINA,M,85+,N,29250,
1970,AR,ARGENTINA,V,05-09,N,1149900,
1970,AR,ARGENTINA,V,10-14,N,1096850,
1970,AR,ARGENTINA,V,00-04,N,1189250,
1970,AR,ARGENTINA,V,15-19,N,1031150,
1970,AR,ARGENTINA,V,20-24,N,900250,
1970,AR,ARGENTINA,V,25-29,N,773300,
1970,AR,ARGENTINA,V,30-34,N,717050,
1970,AR,ARGENTINA,V,35-39,N,705150,
1970,AR,ARGENTINA,V,40-44,N,682100,
1970,AR,ARGENTINA,V,45-49,N,581700,
1970,AR,ARGENTINA,V,50-54,N,489950,
1970,AR,ARGENTINA,V,55-59,N,424900,
1970,AR,ARGENTINA,V,60-64,N,308500,
1970,AR,ARGENTINA,V,65-69,N,192150,
1970,AR,ARGENTINA,V,70-74,N,113650,
1970,AR,ARGENTINA,V,75-79,N,61150,
1970,AR,ARGENTINA,V,80-84,N,27200,
1970,AR,ARGENTINA,V,85+,N,11550,
1980,AR,ARGENTINA,M,00-04,N,1595085,
1980,AR,ARGENTINA,M,05-09,N,1361082,
1980,AR,ARGENTINA,M,10-14,N,1194940,
1980,AR,ARGENTINA,M,15-19,N,1140645,
1980,AR,ARGENTINA,M,20-24,N,1083193,
1980,AR,ARGENTINA,M,25-29,N,1022163,
1980,AR,ARGENTINA,M,30-34,N,914200,
1980,AR,ARGENTINA,M,35-39,N,802573,
1980,AR,ARGENTINA,M,40-44,N,716225,
1980,AR,ARGENTINA,M,45-49,N,688812,
1980,AR,ARGENTINA,M,50-54,N,672580,
1980,AR,ARGENTINA,M,55-59,N,571767,
1980,AR,ARGENTINA,M,60-64,N,472494,
1980,AR,ARGENTINA,M,65-69,N,407718,
1980,AR,ARGENTINA,M,70-74,N,272917,
1980,AR,ARGENTINA,M,75-79,N,169909,
1980,AR,ARGENTINA,M,80-84,N,92253,
1980,AR,ARGENTINA,M,85+,N,55598,
1980,AR,ARGENTINA,V,00-04,N,1634030,
1980,AR,ARGENTINA,V,05-09,N,1391348,
1980,AR,ARGENTINA,V,10-14,N,1219125,
1980,AR,ARGENTINA,V,15-19,N,1146943,
1980,AR,ARGENTINA,V,20-24,N,1061865,
1980,AR,ARGENTINA,V,25-29,N,1004669,
1980,AR,ARGENTINA,V,30-34,N,899935,
1980,AR,ARGENTINA,V,35-39,N,787100,
1980,AR,ARGENTINA,V,40-44,N,702442,
1980,AR,ARGENTINA,V,45-49,N,673961,
1980,AR,ARGENTINA,V,50-54,N,630520,
1980,AR,ARGENTINA,V,55-59,N,524698,
1980,AR,ARGENTINA,V,60-64,N,406557,
1980,AR,ARGENTINA,V,65-69,N,331071,
1980,AR,ARGENTINA,V,70-74,N,202360,
1980,AR,ARGENTINA,V,75-79,N,110626,
1980,AR,ARGENTINA,V,80-84,N,50243,
1980,AR,ARGENTINA,V,85+,N,23582,
1991,AR,ARGENTINA,M,05-09,N,1605783,
1991,AR,ARGENTINA,M,10-14,N,1636553,
1991,AR,ARGENTINA,M,00-04,N,1649314,
1991,AR,ARGENTINA,M,15-19,N,1405692,
1991,AR,ARGENTINA,M,20-24,N,1200343,
1991,AR,ARGENTINA,M,25-29,N,1118791,
1991,AR,ARGENTINA,M,30-34,N,1068378,
1991,AR,ARGENTINA,M,35-39,N,1016735,
1991,AR,ARGENTINA,M,40-44,N,917844,
1991,AR,ARGENTINA,M,45-49,N,788514,
1991,AR,ARGENTINA,M,50-54,N,704772,
1991,AR,ARGENTINA,M,55-59,N,649662,
1991,AR,ARGENTINA,M,60-64,N,633948,
1991,AR,ARGENTINA,M,65-69,N,506918,
1991,AR,ARGENTINA,M,70-74,N,383257,
1991,AR,ARGENTINA,M,75-79,N,286040,
1991,AR,ARGENTINA,M,80-84,N,158156,
